fips,county,state,location,population
08035,Douglas,Colorado,Colorado-Douglas,285465
08037,Eagle,Colorado,Colorado-Eagle,52197
08039,Elbert,Colorado,Colorado-Elbert,23086
08041,El Paso,Colorado,Colorado-El Paso,622263
08043,Fremont,Colorado,Colorado-Fremont,46824
08045,Garfield,Colorado,Colorado-Garfield,56389
08047,Gilpin,Colorado,Colorado-Gilpin,5441
08049,Grand,Colorado,Colorado-Grand,14843
08051,Gunnison,Colorado,Colorado-Gunnison,15324
08053,Hinsdale,Colorado,Colorado-Hinsdale,843
08055,Huerfano,Colorado,Colorado-Huerfano,6711
08057,Jackson,Colorado,Colorado-Jackson,1394
08059,Jefferson,Colorado,Colorado-Jefferson,534543
08061,Kiowa,Colorado,Colorado-Kiowa,1398
08063,Kit Carson,Colorado,Colorado-Kit Carson,8270
08065,Lake,Colorado,Colorado-Lake,7310
08067,La Plata,Colorado,Colorado-La Plata,51334
08069,Larimer,Colorado,Colorado-Larimer,299630
08071,Las Animas,Colorado,Colorado-Las Animas,15507
08073,Lincoln,Colorado,Colorado-Lincoln,5467
08075,Logan,Colorado,Colorado-Logan,22709
08077,Mesa,Colorado,Colorado-Mesa,146723
08079,Mineral,Colorado,Colorado-Mineral,712
08081,Moffat,Colorado,Colorado-Moffat,13795
08083,Montezuma,Colorado,Colorado-Montezuma,25535
08085,Montrose,Colorado,Colorado-Montrose,41276
08087,Morgan,Colorado,Colorado-Morgan,28159
08089,Otero,Colorado,Colorado-Otero,18831
08091,Ouray,Colorado,Colorado-Ouray,4436
08093,Park,Colorado,Colorado-Park,16206
08095,Phillips,Colorado,Colorado-Phillips,4442
08097,Pitkin,Colorado,Colorado-Pitkin,17148
08099,Prowers,Colorado,Colorado-Prowers,12551
08101,Pueblo,Colorado,Colorado-Pueblo,159063
08103,Rio Blanco,Colorado,Colorado-Rio Blanco,6666
08105,Rio Grande,Colorado,Colorado-Rio Grande,11982
08107,Routt,Colorado,Colorado-Routt,23509
08109,Saguache,Colorado,Colorado-Saguache,6108
08111,San Juan,Colorado,Colorado-San Juan,699
08113,San Miguel,Colorado,Colorado-San Miguel,7359
08115,Sedgwick,Colorado,Colorado-Sedgwick,2379
08117,Summit,Colorado,Colorado-Summit,27994
08119,Teller,Colorado,Colorado-Teller,23350
08121,Washington,Colorado,Colorado-Washington,4814
